fips,Adult smoking percentage,Adult obesity percentage,Excessive drinking percentage
20079,15,31,16
20081,16,34,16
20083,14,35,17
20085,16,38,19
20087,16,35,18
20089,17,29,14
20091,11,27,21
20093,16,35,17
20095,14,32,17
20097,15,30,17
20099,19,37,15
20101,15,31,16
20103,18,37,18
20105,15,33,15
20107,18,40,16
20109,14,32,17
20111,18,39,17
20113,14,31,18
20115,15,40,14
20117,15,35,18
20119,16,35,17
20121,15,35,18
20123,16,30,18
20125,19,41,16
20127,15,39,16
20129,15,29,17
20131,15,34,19
20133,20,38,18
20135,15,33,15
20137,17,30,18
20139,17,39,16
20141,16,29,17
20143,17,33,17
20145,16,37,18
20147,16,34,16
20149,15,32,19
20151,16,33,17
20153,14,28,15
20155,16,36,16
20157,15,35,15
20159,17,37,16
20161,15,25,22
20163,16,35,16
20165,15,38,16
20167,16,33,15
20169,18,35,17
20171,15,39,17
20173,17,34,16
20175,18,36,15
20177,18,37,17
20179,15,24,17
20181,16,40,17
20183,16,37,15
20185,16,32,15
20187,16,38,17
20189,16,38,17
20191,17,42,18
20193,16,33,18
20195,14,36,17
20197,14,33,17
20199,15,26,16
20201,14,33,19
20203,14,36,16
20205,18,40,15
20207,18,38,15
20209,21,40,18
21001,23,41,16
21003,22,38,16
21005,19,37,17
21007,20,36,15
21009,22,34,15
21011,23,42,15
21013,28,37,13
21015,18,36,20
21017,20,30,15
21019,22,41,15
21021,20,29,16
21023,21,32,16
21025,27,38,13
21027,22,25,15
21029,20,35,18
21031,23,31,15
21033,20,34,15
21035,19,33,18
21037,19,32,20
21039,22,27,15
21041,22,29,16
21043,23,40,15
21045,26,35,15
21047,23,34,18
21049,19,36,16
21051,29,36,14
21053,23,35,14
21055,22,31,16
21057,21,37,14
21059,17,31,16
21061,22,36,16
21063,27,40,14
21065,25,40,14
21067,20,27,21
21069,22,34,17
21071,25,41,13
21073,19,37,18
21075,25,40,13
21077,21,30,17
21079,20,39,16
21081,23,34,16
21083,22,35,15
21085,24,37,15
21087,21,35,14
21089,20,40,15
21091,21,31,17
21093,21,38,17
21095,27,32,13
21097,20,36,16
21099,23,31,14
21101,21,36,17
21103,21,29,16
21105,22,30,13
21107,20,36,14
21109,27,44,14
21111,20,32,20
21113,20,34,17
21115,22,44,14
21117,21,33,24
21119,25,41,13
21121,28,39,13
21123,21,36,15
21125,21,39,15
21127,23,40,15
21129,27,40,14
21131,26,41,14
21133,26,39,14
21135,25,43,15
21137,23,38,15
21139,20,32,15
21141,22,38,17
21143,19,27,16
21145,21,30,19
21147,32,40,13
21149,21,38,15
21151,19,35,18
21153,25,37,14
21155,23,37,15
21157,19,38,16
21159,25,41,15
21161,22,34,15
21163,21,37,18
21165,21,33,15
21167,21,27,16
21169,24,34,14
21171,23,37,15
21173,23,33,15
21175,25,38,15
21177,22,36,15
21179,19,35,18
21181,24,33,15
21183,23,36,16
21185,16,22,19
21187,21,36,16
21189,26,46,14
21191,20,33,18
21193,25,41,14
21195,23,39,13
21197,24,33,16
21199,24,37,15
21201,23,27,14
21203,24,34,16
21205,24,38,18
21207,23,32,14
21209,18,34,19
21211,19,31,17
21213,21,38,16
21215,18,37,18
21217,22,36,15
21219,22,36,16
21221,20,33,16
21223,21,37,17
21225,22,31,16
21227,20,30,19
21229,20,35,16
21231,24,40,14
21233,23,36,15
21235,24,33,15
21237,29,36,13
21239,18,32,17
22001,22,38,20
22003,22,37,21
22005,18,33,24
22007,21,42,19
22009,23,45,19
22011,21,36,20
22013,22,45,16
22015,19,31,20
22017,22,40,17
22019,20,35,19
22021,23,40,19
22023,19,35,21
22025,23,37,18
22027,26,38,17
22029,25,35,16
22031,22,38,17
22033,18,32,22
22035,32,40,14
22037,21,35,18
22039,24,39,19
22041,24,38,17
22043,23,47,20
22045,21,41,19
