,Active.Physicians.per.100.000.Population..2018..AAMC.,Total.Active.Patient.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Patient.Care.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.General.Surgeons.per.100.000.Population..2018..AAMC.,Active.Patient.Care.General.Surgeons.per.100.000.Population..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Female..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.International.Medical.Graduates..IMGs...2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Age.60.or.Older..2018..AAMC.,MD.and.DO.Student.Enrollment.per.100.000.Population..AY.2018.2019..AAMC.,Student.Enrollment.at.Public.MD.and.DO.Schools.per.100.000.Population..AY.2018.2019..AAMC.,Percentage.Change.in.Student.Enrollment.at.MD.and.DO.Schools..2008.2018..AAMC.,Percentage.of.MD.Students.Matriculating.In.State..AY.2018.2019..AAMC.,Total.Residents.Fellows.in.ACGME.Programs.per.100.000.Population.as.of.December.31..2018..AAMC.,Total.Residents.Fellows.in.Primary.Care.ACGME.Programs.per.100.000.Population.as.of.Dec..31..2018..AAMC.,Percentage.of.Residents.in.ACGME.Programs.Who.Are.IMGs.as.of.December.31..2018..AAMC.,Ratio.of.Residents.and.Fellows..GME..to.Medical.Students..UME...AY.2017.2018..AAMC.,Percent.Change.in.Residents.and.Fellows.in.ACGME.Accredited.Programs..2008.2018..AAMC.,Percentage.of.Physicians.Retained.in.State.from.Undergraduate.Medical.Education..UME...2018..AAMC.,All.Specialties..AAMC.,State.Local.Government.hospital.beds.per.1000.people..2019.,Non.profit.hospital.beds.per.1000.people..2019.,For.profit.hospital.beds.per.1000.people..2019.,Total.hospital.beds.per.1000.people..2019.,Total.nurse.practitioners..2019.,Total.physician.assistants..2019.,Total.Hospitals..2019.,Total.Primary.Care.Physicians..2019.,Surgery.specialists..2019.,Emergency.Medicine.specialists..2019.,Total.Specialist.Physicians..2019.,ICU.Beds,Length.of.Life.rank,Quality.of.Life.rank,Health.Behaviors.rank,Clinical.Care.rank,Social...Economic.Factors.rank,Physical.Environment.rank,Adult.smoking.percentage,Adult.obesity.percentage,Excessive.drinking.percentage,Population.per.sq.mile,House.per.sq.mile,Share.of.Tests.with.Positive.COVID.19.Results,Number.of.Tests.with.Results.per.1.000.Population
2424,253.1,225.8,85.1,77.8,8.1,7.4,30.3,17.4,33.3,42.4,14.8,36.7,69.7,38.4,13.2,17.7,0.9,21.1,34.1,2.530720043240164,0.5,1.6,0.8,2.9,0.8490386278799804,0.17607064096422978,0.016986680963539308,1.3110763499605143,0.17326414583414246,0.12289494400787127,1.4923168502863258,0.12083079804426723,1.0,1.0,1.0,1.0,1.0,39.0,15.0,22.0,16.0,314.4,117.6,0.055886,42.9
2013,206.7,189.1,73.9,68.5,6.2,5.8,29.9,18.3,33.8,29.0,29.0,13.1,82.2,29.1,12.0,18.0,1.2,52.9,48.2,2.0671662931093047,0.5,1.5,0.8,2.8,0.286831686556011,0.32664828672357965,0.031701114784538395,1.219858896990557,0.11361679540771269,0.14760039045764362,1.1823247770657368,0.13586648853060393,47.0,47.0,45.0,21.0,65.0,39.0,19.0,36.0,13.0,50.6,23.6,0.044462,27.6
909,227.6,206.5,88.0,80.5,6.8,6.3,33.3,17.1,30.8,30.0,30.0,21.7,76.7,28.6,10.0,19.3,1.0,14.0,37.7,2.2761424069981584,1.1,1.4,0.8,3.3,0.5639694933701657,0.2857628615101289,0.047741631860036826,1.4126714534069982,0.15971121473296498,0.10097870349907918,1.3096319600368322,0.0,89.0,49.0,54.0,11.0,53.0,23.0,17.0,30.0,18.0,6.5,2.9,0.12959,19.8
1082,260.3,231.8,84.1,75.8,9.1,7.8,31.4,19.8,32.0,45.6,28.7,12.8,87.3,47.1,17.0,28.2,1.0,28.2,40.0,2.603445767265901,0.8,1.7,0.8,3.3,0.5072985323178115,0.16459305172426147,0.033905739465632995,1.3579463254207658,0.17403515637650735,0.16824113758983142,1.607947505499151,0.0,18.0,4.0,16.0,23.0,5.0,28.0,22.0,37.0,21.0,197.5,77.4,0.137291,51.2
893,227.6,206.5,88.0,80.5,6.8,6.3,33.3,17.1,30.8,30.0,30.0,21.7,76.7,28.6,10.0,19.3,1.0,14.0,37.7,2.276142407557697,1.1,1.4,0.8,3.3,0.5639694935328431,0.28576286152675623,0.047741632006086734,1.412671453461831,0.15971121455744355,0.10097870352523458,1.3096319601826019,0.0,38.0,81.0,62.0,99.0,63.0,19.0,16.0,35.0,17.0,4.6,1.8,0.12959,19.8
1478,273.1,236.3,86.6,79.0,7.0,6.3,34.2,20.9,30.2,71.3,15.0,14.8,67.4,49.4,15.7,19.5,0.7,17.8,21.3,2.7311076619676062,0.4,2.2,0.4,3.1,0.5577453312087582,0.10854569661067785,0.019913646595680866,1.5359624137672465,0.18199767171565687,0.1782434596580684,1.7734571333233353,0.0,111.0,114.0,113.0,106.0,109.0,109.0,27.0,38.0,16.0,34.9,13.9,0.081697,20.2
2108,320.5,273.3,100.8,88.2,8.7,7.2,35.6,23.5,33.3,64.0,23.496392711045306,17.8,63.0,69.7,25.1,22.3,1.2,22.1,31.3,3.204560609461669,0.0,2.5,0.3,2.9,0.5468077763382498,0.44264647794815537,0.015538304655048595,1.8975471340360957,0.23408963492928472,0.24697315387752303,2.0900190987271605,0.512455926985857,37.0,60.0,51.0,16.0,45.0,36.0,19.0,34.0,19.0,510.6,229.3,0.10913384179970963,23.7
856,227.6,206.5,88.0,80.5,6.8,6.3,33.3,17.1,30.8,30.0,30.0,21.7,76.7,28.6,10.0,19.3,1.0,14.0,37.7,2.276142408318426,1.1,1.4,0.8,3.3,0.5639694935152058,0.28576286158318426,0.04774163193202147,1.4126714534883722,0.1597112146690519,0.1009787034883721,1.30963196019678,0.0,38.0,57.0,35.0,87.0,82.0,38.0,17.0,28.0,16.0,4.3,2.4,0.12959,19.8
2674,367.1,322.7,130.3,121.5,11.7,9.9,41.7,10.7,35.7,76.3,76.3,44.53799567411594,50.9,50.9,14.5,13.2,0.7,20.4,13.6,3.6707706699803127,0.45268662098809886,2.1,0.4802056555269882,2.1,0.613125679337919,0.3943803199207641,0.02235354040176944,1.8010566840045696,0.2187453596602095,0.14370133114989186,1.9319845629876284,0.27951291835792236,3.0,3.0,1.0,1.0,1.0,7.0,11.0,21.0,22.0,291.7,122.5,0.042858,34.7
15,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.1714975707488104,1.4,0.8,0.9,3.1,0.5190398846057523,0.10945460712015259,0.020663393130285698,1.1994997412780057,0.15425939024061336,0.09513344358396424,1.297497417596178,0.134851374520796,6.0,3.0,10.0,17.0,5.0,10.0,17.0,34.0,15.0,73.6,32.9,0.07785299999999999,27.8
