fips,Population per sq mile,House per sq mile
26083,4,4.6
26085,20.3,26.4
26087,137.4,56.5
26089,62.5,43
26091,133.3,58
26093,320.2,128.8
26095,7.4,4.8
26097,10.9,10.8
26099,1754.9,744.2
26101,45.6,28.9
26103,37.1,19
26105,58,34.9
26107,77.1,38.1
26109,23,13.6
26111,162,69.7
26113,26.3,16.1
26115,276.7,114.6
26117,89.8,40
26119,17.9,17.6
26121,344.9,147.3
26123,59.6,30.8
26125,1385.7,607.7
26127,51.9,31.1
26129,38.5,28.5
26131,5.2,4.3
26133,41.5,24.1
26135,15.3,16.1
26137,46.9,28.6
26139,468.2,181.9
26141,20.3,15.8
26143,47.1,47.1
26145,250.2,108.5
26147,226.1,99.6
26149,122.4,55.5
26151,44.8,23.6
