,county,state,cases,deaths,POP_ESTIMATE_2018,total_state_pop,Active.Physicians.per.100.000.Population..2018..AAMC.,Total.Active.Patient.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Patient.Care.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.General.Surgeons.per.100.000.Population..2018..AAMC.,Active.Patient.Care.General.Surgeons.per.100.000.Population..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Female..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.International.Medical.Graduates..IMGs...2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Age.60.or.Older..2018..AAMC.,MD.and.DO.Student.Enrollment.per.100.000.Population..AY.2018.2019..AAMC.,Student.Enrollment.at.Public.MD.and.DO.Schools.per.100.000.Population..AY.2018.2019..AAMC.,Percentage.Change.in.Student.Enrollment.at.MD.and.DO.Schools..2008.2018..AAMC.,Percentage.of.MD.Students.Matriculating.In.State..AY.2018.2019..AAMC.,Total.Residents.Fellows.in.ACGME.Programs.per.100.000.Population.as.of.December.31..2018..AAMC.,Total.Residents.Fellows.in.Primary.Care.ACGME.Programs.per.100.000.Population.as.of.Dec..31..2018..AAMC.,Percentage.of.Residents.in.ACGME.Programs.Who.Are.IMGs.as.of.December.31..2018..AAMC.,Ratio.of.Residents.and.Fellows..GME..to.Medical.Students..UME...AY.2017.2018..AAMC.,Percent.Change.in.Residents.and.Fellows.in.ACGME.Accredited.Programs..2008.2018..AAMC.,Percentage.of.Physicians.Retained.in.State.from.Undergraduate.Medical.Education..UME...2018..AAMC.,All.Specialties..AAMC.,State.Local.Government.hospital.beds.per.1000.people..2019.,Non.profit.hospital.beds.per.1000.people..2019.,For.profit.hospital.beds.per.1000.people..2019.,Total.hospital.beds.per.1000.people..2019.,Total.nurse.practitioners..2019.,Total.physician.assistants..2019.,Total.Hospitals..2019.,Total.Primary.Care.Physicians..2019.,Surgery.specialists..2019.,Emergency.Medicine.specialists..2019.,Total.Specialist.Physicians..2019.,ICU.Beds,pop_fraction,Length.of.Life.rank,Quality.of.Life.rank,Health.Behaviors.rank,Clinical.Care.rank,Social...Economic.Factors.rank,Physical.Environment.rank,Adult.smoking.percentage,Adult.obesity.percentage,Excessive.drinking.percentage,Population.per.sq.mile,House.per.sq.mile,Share.of.Tests.with.Positive.COVID.19.Results,Number.of.Tests.with.Results.per.1.000.Population
2658,Piute,Utah,0.6920415224913494,0.0,1445.0,6322210.0,216.2,199.9,65.3,62.2,5.8,5.4,24.6,9.3,26.5,16.6,16.6,21.5,43.5,26.0,8.8,6.1,1.6,20.2,43.8,2.161585901038062,0.3,1.0,0.6,1.8,0.38182850588235295,0.2524433702422145,0.017082633910034603,0.9695976567474051,0.09996504359861592,0.13476300207612457,1.1692113993079583,0.0,0.000228559,17.0,15.0,21.0,23.0,26.0,3.0,9.0,26.0,10.0,2.1,1.2,0.042223000000000004,48.9
2659,Salt Lake,Utah,3.0625533018749245,0.04511409963101872,1152633.0,6322210.0,216.2,199.9,65.3,62.2,5.8,5.4,24.6,9.3,26.5,16.6,16.6,21.5,43.5,26.0,8.8,6.1,1.6,20.2,43.8,2.161585901149803,0.3,1.0,0.6,1.8,0.3818285062114307,0.2524433702661645,0.01708263408214063,0.9695976568430715,0.0999650438604482,0.13476300218716625,1.1692113994653979,0.24465723261437075,0.18231488699999998,10.0,12.0,18.0,5.0,13.0,20.0,10.0,25.0,16.0,1387.1,490.4,0.042223000000000004,48.9
2660,San Juan,Utah,9.838824519386367,0.1941873260405204,15449.0,6322210.0,216.2,199.9,65.3,62.2,5.8,5.4,24.6,9.3,26.5,16.6,16.6,21.5,43.5,26.0,8.8,6.1,1.6,20.2,43.8,2.1615859013528382,0.3,1.0,0.6,1.8,0.38182850618162995,0.2524433702505016,0.01708263408634863,0.9695976568062658,0.0999650438863357,0.13476300220078968,1.1692113994433295,0.06472910868017348,0.002443608,27.0,27.0,28.0,28.0,28.0,19.0,16.0,35.0,10.0,1.9,0.7,0.042223000000000004,48.9
2661,Sanpete,Utah,0.1959311628514515,0.0,30623.0,6322210.0,216.2,199.9,65.3,62.2,5.8,5.4,24.6,9.3,26.5,16.6,16.6,21.5,43.5,26.0,8.8,6.1,1.6,20.2,43.8,2.1615859011200738,0.3,1.0,0.6,1.8,0.3818285060248832,0.25244337027724256,0.01708263406589818,0.9695976566632923,0.09996504385592529,0.134763002187898,1.1692113992750546,0.0,0.0048437179999999995,7.0,21.0,19.0,14.0,19.0,11.0,11.0,30.0,11.0,17.5,6.5,0.042223000000000004,48.9
2662,Sevier,Utah,0.37141928594642276,0.0,21539.0,6322210.0,216.2,199.9,65.3,62.2,5.8,5.4,24.6,9.3,26.5,16.6,16.6,21.5,43.5,26.0,8.8,6.1,1.6,20.2,43.8,2.1615859009239053,0.3,1.0,0.6,1.8,0.38182850615163194,0.2524433702586007,0.017082634059148522,0.9695976563443056,0.09996504387390316,0.1347630021820883,1.1692113993221598,0.0,0.003406878,15.0,22.0,16.0,13.0,20.0,16.0,10.0,29.0,12.0,10.9,4.4,0.042223000000000004,48.9
2663,Summit,Utah,9.348246011494528,0.0,41933.0,6322210.0,216.2,199.9,65.3,62.2,5.8,5.4,24.6,9.3,26.5,16.6,16.6,21.5,43.5,26.0,8.8,6.1,1.6,20.2,43.8,2.161585901080295,0.3,1.0,0.6,1.8,0.3818285061884435,0.25244337037655307,0.017082634082941837,0.9695976564996543,0.09996504387952211,0.13476300217012854,1.1692113991367181,0.09539026542341354,0.006632649,1.0,9.0,3.0,1.0,3.0,10.0,9.0,15.0,16.0,19.4,14.2,0.042223000000000004,48.9
2664,Tooele,Utah,1.2159011257813952,0.0,69907.0,6322210.0,216.2,199.9,65.3,62.2,5.8,5.4,24.6,9.3,26.5,16.6,16.6,21.5,43.5,26.0,8.8,6.1,1.6,20.2,43.8,2.1615859012688285,0.3,1.0,0.6,1.8,0.3818285061581816,0.2524433703348735,0.017082634085284733,0.9695976564578656,0.09996504387257357,0.13476300217431728,1.1692113991445776,0.05721887650735978,0.011057368,13.0,16.0,24.0,17.0,12.0,9.0,10.0,34.0,13.0,8.4,2.8,0.042223000000000004,48.9
2665,Uintah,Utah,0.1975280772052599,0.0,35438.0,6322210.0,216.2,199.9,65.3,62.2,5.8,5.4,24.6,9.3,26.5,16.6,16.6,21.5,43.5,26.0,8.8,6.1,1.6,20.2,43.8,2.161585901010215,0.3,1.0,0.6,1.8,0.38182850612337044,0.25244337028048985,0.01708263406512783,0.9695976564704555,0.09996504387945143,0.13476300217280887,1.1692113990631525,0.11287318697443423,0.005605318000000001,22.0,25.0,27.0,26.0,22.0,24.0,13.0,35.0,13.0,7.3,2.7,0.042223000000000004,48.9
2666,Unknown,Utah,2.37343276017167,0.0986733990592806,,,255.83636678200773,226.6442906574413,88.00505190311414,80.04795847750937,7.609515570934332,6.750311418685208,33.87982698961921,20.962802768166316,31.211107266435604,39.443566111307916,23.496392711045306,44.53799567411594,69.85761183261238,36.13522491349447,13.66896193771623,20.887785467128325,0.9911733427862293,31.638719723183605,40.9897776183638,2.558409076147586,0.45268662098809886,1.8265051903114327,0.4802056555269882,2.7091003460208283,0.5153777259287423,0.26318240467730647,0.02236003208467126,1.3832442105763183,0.15678187709488467,0.15517237341472045,1.4630687143103664,0.14165561039181643,,46.90747826086957,47.57217391304348,48.40382608695652,46.808,47.648,49.479652173913045,17.554671280276818,33.068166089965395,17.51280276816609,223.1832467982003,97.04292142609887,0.042223000000000004,48.9
2667,Utah,Utah,2.2500333487085613,0.017678833454138697,622213.0,6322210.0,216.2,199.9,65.3,62.2,5.8,5.4,24.6,9.3,26.5,16.6,16.6,21.5,43.5,26.0,8.8,6.1,1.6,20.2,43.8,2.1615859006481704,0.3,1.0,0.6,1.8,0.3818285061546448,0.2524433703570964,0.017082634081898,0.9695976565902674,0.09996504386761447,0.13476300217128218,1.1692113991510944,0.19607433467317462,0.098417009,6.0,2.0,1.0,4.0,4.0,25.0,6.0,25.0,8.0,257.8,74.0,0.042223000000000004,48.9
